status	id	category	source_repo	commit	source_path	output	license	reason
accepted	WLBarkHumanOne	humanoid	https://github.com/goonstation/goonstation	eb3e7df629	Resources/Audio/Voice/Talk/speak_1.ogg	Resources/Audio/_WL/Barks/Normalized/Station/speak_1.ogg	CC-BY-NC-SA-3.0	Goonstation talk sound
accepted	WLBarkHumanTwo	humanoid	https://github.com/goonstation/goonstation	eb3e7df629	Resources/Audio/Voice/Talk/speak_2.ogg	Resources/Audio/_WL/Barks/Normalized/Station/speak_2.ogg	CC-BY-NC-SA-3.0	Goonstation talk sound
accepted	WLBarkHumanThree	humanoid	https://github.com/goonstation/goonstation	eb3e7df629	Resources/Audio/Voice/Talk/speak_3.ogg	Resources/Audio/_WL/Barks/Normalized/Station/speak_3.ogg	CC-BY-NC-SA-3.0	Goonstation talk sound
accepted	WLBarkHumanFour	humanoid	https://github.com/goonstation/goonstation	eb3e7df629	Resources/Audio/Voice/Talk/speak_4.ogg	Resources/Audio/_WL/Barks/Normalized/Station/speak_4.ogg	CC-BY-NC-SA-3.0	Goonstation talk sound
accepted	WLBarkLizard	creature	https://github.com/goonstation/goonstation	eb3e7df629	Resources/Audio/Voice/Talk/lizard.ogg	Resources/Audio/_WL/Barks/Normalized/Station/lizard.ogg	CC-BY-NC-SA-3.0	Goonstation talk sound
accepted	WLBarkArachnid	creature	https://github.com/space-wizards/space-station-14	8269a500b3	Resources/Audio/Voice/Talk/arachnid.ogg	Resources/Audio/_WL/Barks/Normalized/Station/arachnid.ogg	CC-BY-4.0	Recorded by PixelTheKermit
accepted	WLBarkSlime	creature	https://github.com/goonstation/goonstation	eb3e7df629	Resources/Audio/Voice/Talk/slime.ogg	Resources/Audio/_WL/Barks/Normalized/Station/slime.ogg	CC-BY-NC-SA-3.0	Goonstation talk sound
accepted	WLBarkVox	creature	https://github.com/ParadiseSS13/Paradise	43e60ab01e	Resources/Audio/Voice/Talk/vox.ogg	Resources/Audio/_WL/Barks/Normalized/Station/vox.ogg	CC-BY-SA-3.0	Paradise shriek derivative
accepted	WLBarkVulpkanin	creature	https://github.com/goonstation/goonstation	da7c8965c4	Resources/Audio/Voice/Talk/vulp.ogg	Resources/Audio/_WL/Barks/Normalized/Station/vulp.ogg	CC-BY-NC-SA-3.0	Goonstation pug talk sound
accepted	WLBarkPAI	synthetic	https://github.com/space-wizards/space-station-14	f5bb790edb	Resources/Audio/Voice/Talk/pai.ogg	Resources/Audio/_WL/Barks/Normalized/Station/pai.ogg	CC-BY-3.0	Created by hubismal
